V,I,G,P,no_module_fault,fault,partial_shading
136.97741,9.84254,831.99133,1348.2056370214,0,0,0
136.47942,9.79537,832.10949,1336.8664162854,0,0,0
136.85893,9.83674,832.06308,1346.2457110882,0,0,0
135.49347,9.87625,832.01113,1338.1673830875,0,0,0
137.3063,9.83668,832.07053,1350.638135084,0,0,0
137.39614,9.80212,832.23532,1346.7734518168,0,0,0
138.35461,9.81093,832.42459,1357.3873938873,0,0,0
136.57589,9.87521,831.86742,1348.7155946869,0,0,0
139.27371,9.81568,832.12652,1367.0661697728,0,0,0
136.50144,9.81093,832.30344,1339.2060727392,0,0,0
139.10178,9.76377,831.75202,1358.1577865106,0,0,0
134.55448,9.73053,831.72243,1309.2864042744,0,0,0
139.26485,9.71845,831.72818,1353.4384814825,0,0,0
140.1757,9.76211,831.68538,1368.410602727,0,0,0
139.0087,9.7901,831.76863,1360.90907387,0,0,0
139.03805,9.75433,831.65898,1356.2230222565,0,0,0
139.81174,9.74016,831.75649,1361.7887174784,0,0,0
136.39394,9.76776,831.63705,1332.2632713744,0,0,0
139.44539,9.78047,831.66856,1363.8414535333,0,0,0
138.45842,9.7157,831.75777,1345.220471194,0,0,0
138.38483,9.73968,832.12631,1347.8239610544,0,0,0
140.37669,9.71987,832.16506,1364.4431778303,0,0,0
139.70383,9.75456,832.23766,1362.7493919648,0,0,0
138.67485,9.77439,832.17804,1355.4620670915,0,0,0
139.32594,9.73463,831.9958,1356.2864753022,0,0,0
138.20353,9.72167,832.20061,1343.5691114951,0,0,0
139.63565,9.76481,832.50358,1363.5155914765,0,0,0
137.57997,9.79109,832.22297,1347.0578684673,0,0,0
138.62231,9.7444,832.11907,1350.791237564,0,0,0
137.21175,9.69684,832.17166,1330.52038587,0,0,0
137.8667,9.7586,831.84676,1345.38597862,0,0,0
137.25346,9.77148,831.89297,1341.1694393208,0,0,0
